index,py_P_elec_hp1,py_P_heat_hp1,py_m_flow_hp1,py_COP_hp1,py_status_hp1,py_P_elec_hp2,py_P_heat_hp2,py_m_flow_hp2,py_COP_hp2,py_status_hp2,py_P_elec_hp3,py_P_heat_hp3,py_m_flow_hp3,py_COP_hp3,py_status_hp3,py_T_1,py_T_2,py_T_3,py_T_m
26,0.000,0.000,0.000,1.660,0.000,0.437,1.053,700.000,2.410,1.000,0.000,0.000,0.000,2.730,0.000,52.009,51.250,48.705,50.654
27,0.000,0.000,0.000,1.670,0.000,0.554,1.347,700.000,2.430,1.000,0.000,0.000,0.000,2.740,0.000,50.823,50.581,48.343,49.916
28,6.874,11.410,700.000,1.660,1.000,0.000,0.000,0.000,2.410,0.000,0.000,0.000,0.000,2.730,0.000,58.008,54.106,50.965,54.360
29,5.637,9.302,700.000,1.650,1.000,0.000,0.000,0.000,2.390,0.000,0.000,0.000,0.000,2.700,0.000,60.834,56.936,53.558,57.110
30,0.000,0.000,0.000,1.640,0.000,0.000,0.000,0.000,2.380,0.000,0.000,0.000,0.000,2.690,0.000,57.776,54.172,50.908,54.285
31,0.000,0.000,0.000,1.640,0.000,0.000,0.000,0.000,2.380,0.000,0.000,0.000,0.000,2.690,0.000,55.016,51.563,48.295,51.625
32,0.000,0.000,0.000,1.650,0.000,0.793,1.903,700.000,2.400,1.000,0.000,0.000,0.000,2.710,0.000,51.790,50.671,47.659,50.040
33,0.000,0.000,0.000,1.680,0.000,0.000,0.000,0.000,2.450,0.000,0.000,0.000,0.000,2.770,0.000,50.168,48.007,44.453,47.543
34,0.000,0.000,0.000,1.780,0.000,0.000,0.000,0.000,2.580,0.000,0.000,0.000,0.000,2.910,0.000,48.185,45.427,41.836,45.149
35,0.000,0.000,0.000,1.870,0.000,0.000,0.000,0.000,2.710,0.000,0.841,2.574,700.000,3.060,1.000,46.031,44.868,41.834,44.244
36,0.000,0.000,0.000,1.930,0.000,0.000,0.000,0.000,2.800,0.000,0.936,2.948,700.000,3.150,1.000,45.166,44.210,41.374,43.583
37,0.000,0.000,0.000,1.970,0.000,0.000,0.000,0.000,2.850,0.000,1.046,3.359,700.000,3.210,1.000,44.753,43.681,40.868,43.101
38,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.890,0.000,1.142,3.710,700.000,3.250,1.000,44.517,43.286,40.437,42.747
39,0.000,0.000,0.000,2.010,0.000,2.446,7.119,700.000,2.910,1.000,0.000,0.000,0.000,3.270,0.000,46.832,44.322,41.243,44.132
40,0.000,0.000,0.000,2.000,0.000,2.215,6.422,700.000,2.900,1.000,0.000,0.000,0.000,3.260,0.000,47.792,45.252,42.100,45.048
41,0.000,0.000,0.000,1.980,0.000,2.068,5.916,700.000,2.860,1.000,0.000,0.000,0.000,3.220,0.000,48.241,45.877,42.724,45.614
42,0.000,0.000,0.000,1.930,0.000,1.999,5.579,700.000,2.790,1.000,0.000,0.000,0.000,3.140,0.000,48.480,46.275,43.138,45.964
43,0.000,0.000,0.000,1.800,0.000,2.046,5.339,700.000,2.610,1.000,0.000,0.000,0.000,2.950,0.000,48.629,46.546,43.432,46.203
44,8.519,14.398,700.000,1.690,1.000,0.000,0.000,0.000,2.450,0.000,0.000,0.000,0.000,2.770,0.000,56.186,50.859,47.290,51.445
45,0.000,0.000,0.000,1.660,0.000,0.781,1.882,700.000,2.410,1.000,0.000,0.000,0.000,2.720,0.000,52.244,50.756,47.685,50.228
46,6.968,11.358,700.000,1.630,1.000,0.000,0.000,0.000,2.370,0.000,0.000,0.000,0.000,2.670,0.000,58.606,54.479,51.029,54.705
47,0.000,0.000,0.000,1.600,0.000,0.000,0.000,0.000,2.320,0.000,0.000,0.000,0.000,2.630,0.000,57.020,53.144,49.869,53.344
48,5.972,9.376,700.000,1.570,1.000,0.000,0.000,0.000,2.280,0.000,0.000,0.000,0.000,2.580,0.000,60.893,56.960,53.467,57.107
49,4.534,7.027,700.000,1.550,1.000,0.000,0.000,0.000,2.250,0.000,0.000,0.000,0.000,2.550,0.000,62.702,59.655,56.356,59.571
50,0.000,0.000,0.000,1.540,0.000,0.000,0.000,0.000,2.240,0.000,0.000,0.000,0.000,2.540,0.000,61.419,58.285,54.928,58.211
51,4.086,6.334,700.000,1.550,1.000,0.000,0.000,0.000,2.240,0.000,0.000,0.000,0.000,2.540,0.000,62.960,60.349,57.209,60.173
52,0.000,0.000,0.000,1.550,0.000,0.000,0.000,0.000,2.250,0.000,0.000,0.000,0.000,2.550,0.000,61.525,58.668,55.314,58.502
53,0.000,0.000,0.000,1.550,0.000,0.000,0.000,0.000,2.250,0.000,0.000,0.000,0.000,2.550,0.000,59.462,56.384,52.971,56.272
54,0.000,0.000,0.000,1.550,0.000,0.000,0.000,0.000,2.240,0.000,0.000,0.000,0.000,2.540,0.000,56.771,53.549,50.153,53.491
55,0.000,0.000,0.000,1.550,0.000,0.000,0.000,0.000,2.250,0.000,0.000,0.000,0.000,2.550,0.000,54.179,50.893,47.522,50.865
56,0.000,0.000,0.000,1.630,0.000,0.000,0.000,0.000,2.360,0.000,0.000,0.000,0.000,2.670,0.000,51.616,48.304,44.951,48.290
57,0.000,0.000,0.000,1.710,0.000,1.552,3.865,700.000,2.490,1.000,0.000,0.000,0.000,2.810,0.000,50.129,48.348,45.246,47.908
58,0.000,0.000,0.000,1.840,0.000,0.000,0.000,0.000,2.680,0.000,0.000,0.000,0.000,3.020,0.000,48.367,45.881,42.397,45.548
59,0.000,0.000,0.000,1.910,0.000,0.000,0.000,0.000,2.760,0.000,0.000,0.000,0.000,3.110,0.000,46.400,43.499,39.979,43.292
60,0.000,0.000,0.000,1.960,0.000,0.000,0.000,0.000,2.840,0.000,1.153,3.677,700.000,3.190,1.000,45.146,43.551,40.477,43.058
61,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.900,0.000,1.143,3.725,700.000,3.260,1.000,44.671,43.333,40.418,42.807
62,0.000,0.000,0.000,2.040,0.000,0.000,0.000,0.000,2.940,0.000,1.176,3.894,700.000,3.310,1.000,44.451,43.099,40.210,42.586
63,0.000,0.000,0.000,2.050,0.000,0.000,0.000,0.000,2.960,0.000,1.231,4.099,700.000,3.330,1.000,44.312,42.874,39.958,42.381
64,0.000,0.000,0.000,2.050,0.000,2.502,7.405,700.000,2.960,1.000,0.000,0.000,0.000,3.330,0.000,46.675,44.016,40.892,43.861
65,0.000,0.000,0.000,2.030,0.000,2.264,6.632,700.000,2.930,1.000,0.000,0.000,0.000,3.290,0.000,47.673,45.025,41.842,44.847
66,0.000,0.000,0.000,1.970,0.000,2.115,6.050,700.000,2.860,1.000,0.000,0.000,0.000,3.220,0.000,48.166,45.730,42.559,45.485
67,0.000,0.000,0.000,1.830,0.000,2.114,5.624,700.000,2.660,1.000,0.000,0.000,0.000,3.000,0.000,48.455,46.221,43.083,45.919
68,8.519,14.567,700.000,1.710,1.000,0.000,0.000,0.000,2.490,0.000,0.000,0.000,0.000,2.810,0.000,56.103,50.678,47.082,51.287
69,0.000,0.000,0.000,1.680,0.000,0.808,1.971,700.000,2.440,1.000,0.000,0.000,0.000,2.760,0.000,52.198,50.658,47.575,50.144
70,6.913,11.407,700.000,1.650,1.000,0.000,0.000,0.000,2.400,0.000,0.000,0.000,0.000,2.710,0.000,58.589,54.433,50.969,54.664
71,0.000,0.000,0.000,1.610,0.000,0.000,0.000,0.000,2.350,0.000,0.000,0.000,0.000,2.650,0.000,57.013,53.113,49.836,53.320
72,5.877,9.285,700.000,1.580,1.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,0.000,2.600,0.000,60.986,57.081,53.579,57.215
73,0.000,0.000,0.000,1.570,0.000,0.000,0.000,0.000,2.280,0.000,0.000,0.000,0.000,2.580,0.000,59.700,55.941,52.595,56.079
74,0.000,0.000,0.000,1.580,0.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,0.000,2.600,0.000,58.411,54.781,51.504,54.899
75,0.000,0.000,0.000,1.600,0.000,0.000,0.000,0.000,2.320,0.000,0.000,0.000,0.000,2.630,0.000,57.069,53.544,50.286,53.633
76,0.000,0.000,0.000,1.610,0.000,0.000,0.000,0.000,2.340,0.000,0.000,0.000,0.000,2.640,0.000,55.527,52.085,48.819,52.144
77,6.572,10.514,700.000,1.600,1.000,0.000,0.000,0.000,2.320,0.000,0.000,0.000,0.000,2.630,0.000,59.807,55.565,52.067,55.813
78,0.000,0.000,0.000,1.590,0.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,0.000,2.610,0.000,56.963,53.145,49.892,53.333
79,0.000,0.000,0.000,1.580,0.000,0.000,0.000,0.000,2.290,0.000,0.000,0.000,0.000,2.600,0.000,54.449,50.877,47.648,50.991
80,0.000,0.000,0.000,1.610,0.000,0.000,0.000,0.000,2.340,0.000,0.000,0.000,0.000,2.640,0.000,52.089,48.648,45.391,48.709
81,0.000,0.000,0.000,1.690,0.000,0.000,0.000,0.000,2.460,0.000,0.000,0.000,0.000,2.780,0.000,49.895,46.518,43.232,46.548
82,0.000,0.000,0.000,1.830,0.000,0.000,0.000,0.000,2.660,0.000,0.000,0.000,0.000,3.000,0.000,47.824,44.476,41.170,44.490
83,0.000,0.000,0.000,1.910,0.000,0.000,0.000,0.000,2.770,0.000,0.000,0.000,0.000,3.120,0.000,45.857,42.522,39.203,42.527
84,0.000,0.000,0.000,1.960,0.000,0.000,0.000,0.000,2.850,0.000,0.000,0.000,0.000,3.200,0.000,43.926,40.597,37.271,40.598
85,0.000,0.000,0.000,2.010,0.000,0.000,0.000,0.000,2.910,0.000,1.590,5.200,700.000,3.270,1.000,43.959,41.711,38.604,41.425
86,0.000,0.000,0.000,2.040,0.000,0.000,0.000,0.000,2.950,0.000,1.394,4.628,700.000,3.320,1.000,44.074,42.270,39.307,41.883
87,0.000,0.000,0.000,2.050,0.000,0.000,0.000,0.000,2.960,0.000,1.309,4.359,700.000,3.330,1.000,44.155,42.541,39.638,42.111
88,0.000,0.000,0.000,2.040,0.000,0.000,0.000,0.000,2.950,0.000,1.286,4.268,700.000,3.320,1.000,44.190,42.645,39.750,42.195
89,0.000,0.000,0.000,2.020,0.000,0.000,0.000,0.000,2.920,0.000,1.299,4.261,700.000,3.280,1.000,44.196,42.665,39.759,42.206
90,0.000,0.000,0.000,1.980,0.000,0.000,0.000,0.000,2.870,0.000,1.327,4.285,700.000,3.230,1.000,44.187,42.648,39.729,42.188
91,0.000,0.000,0.000,1.900,0.000,2.683,7.406,700.000,2.760,1.000,0.000,0.000,0.000,3.110,0.000,46.680,44.001,40.890,43.857
92,0.000,0.000,0.000,1.830,0.000,2.406,6.377,700.000,2.650,1.000,0.000,0.000,0.000,2.990,0.000,47.837,45.286,42.156,45.093
93,0.000,0.000,0.000,1.800,0.000,2.073,5.431,700.000,2.620,1.000,0.000,0.000,0.000,2.950,0.000,48.515,46.350,43.320,46.061
94,0.000,0.000,0.000,1.790,0.000,1.690,4.393,700.000,2.600,1.000,0.000,0.000,0.000,2.930,0.000,49.047,47.369,44.597,47.005
95,0.000,0.000,0.000,1.780,0.000,1.357,3.515,700.000,2.590,1.000,0.000,0.000,0.000,2.920,0.000,49.400,48.151,45.676,47.742
96,0.000,0.000,0.000,1.780,0.000,0.000,0.000,0.000,2.590,0.000,0.000,0.000,0.000,2.920,0.000,48.944,47.299,44.221,46.821
97,0.000,0.000,0.000,1.790,0.000,0.000,0.000,0.000,2.600,0.000,0.000,0.000,0.000,2.930,0.000,48.351,46.312,42.907,45.857
98,0.000,0.000,0.000,1.800,0.000,1.624,4.240,700.000,2.610,1.000,0.000,0.000,0.000,2.940,0.000,49.083,47.526,44.785,47.131
99,0.000,0.000,0.000,1.800,0.000,1.292,3.386,700.000,2.620,1.000,0.000,0.000,0.000,2.950,0.000,49.434,48.259,45.835,47.842
100,0.000,0.000,0.000,1.800,0.000,1.171,3.067,700.000,2.620,1.000,0.000,0.000,0.000,2.960,0.000,49.580,48.591,46.227,48.133
101,0.000,0.000,0.000,1.810,0.000,0.000,0.000,0.000,2.630,0.000,0.000,0.000,0.000,2.960,0.000,48.588,46.789,43.518,46.299
102,0.000,0.000,0.000,1.810,0.000,1.858,4.868,700.000,2.620,1.000,0.000,0.000,0.000,2.960,0.000,48.859,47.064,44.012,46.645
103,0.000,0.000,0.000,1.810,0.000,0.000,0.000,0.000,2.620,0.000,0.000,0.000,0.000,2.960,0.000,47.276,44.829,41.372,44.492
104,0.000,0.000,0.000,1.820,0.000,2.237,5.907,700.000,2.640,1.000,0.000,0.000,0.000,2.980,0.000,48.206,45.900,42.734,45.613
105,0.000,0.000,0.000,1.840,0.000,0.000,0.000,0.000,2.670,0.000,0.000,0.000,0.000,3.010,0.000,46.641,43.929,40.510,43.693
106,0.000,0.000,0.000,1.900,0.000,0.000,0.000,0.000,2.750,0.000,1.001,3.103,700.000,3.100,1.000,45.400,44.083,41.183,43.555
107,0.000,0.000,0.000,1.990,0.000,0.000,0.000,0.000,2.880,0.000,0.914,2.962,700.000,3.240,1.000,44.958,43.993,41.356,43.436
108,0.000,0.000,0.000,2.050,0.000,0.000,0.000,0.000,2.960,0.000,0.890,2.963,700.000,3.330,1.000,44.785,43.887,41.356,43.342
109,0.000,0.000,0.000,2.080,0.000,0.000,0.000,0.000,3.010,0.000,0.899,3.040,700.000,3.380,1.000,44.700,43.782,41.261,43.248
110,0.000,0.000,0.000,2.100,0.000,0.000,0.000,0.000,3.030,0.000,0.923,3.148,700.000,3.410,1.000,44.645,43.679,41.128,43.151
111,0.000,0.000,0.000,2.100,0.000,2.116,6.432,700.000,3.040,1.000,0.000,0.000,0.000,3.410,0.000,47.145,44.947,42.088,44.727
112,0.000,0.000,0.000,2.090,0.000,1.859,5.615,700.000,3.020,1.000,0.000,0.000,0.000,3.390,0.000,48.213,46.048,43.094,45.785
113,0.000,0.000,0.000,2.060,0.000,1.685,5.020,700.000,2.980,1.000,0.000,0.000,0.000,3.340,0.000,48.711,46.775,43.825,46.437
114,0.000,0.000,0.000,2.000,0.000,1.600,4.640,700.000,2.900,1.000,0.000,0.000,0.000,3.260,0.000,48.964,47.217,44.293,46.824
115,0.000,0.000,0.000,1.910,0.000,1.586,4.376,700.000,2.760,1.000,0.000,0.000,0.000,3.110,0.000,49.113,47.505,44.617,47.078
116,0.000,0.000,0.000,1.770,0.000,1.606,4.128,700.000,2.570,1.000,0.000,0.000,0.000,2.900,0.000,49.232,47.751,44.923,47.302
117,7.701,13.246,700.000,1.720,1.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,0.000,2.820,0.000,57.077,52.240,48.706,52.674
118,5.818,9.890,700.000,1.700,1.000,0.000,0.000,0.000,2.470,0.000,0.000,0.000,0.000,2.790,0.000,60.870,56.538,52.835,56.748
119,4.173,7.094,700.000,1.700,1.000,0.000,0.000,0.000,2.470,0.000,0.000,0.000,0.000,2.790,0.000,62.812,59.667,56.273,59.584
120,0.000,0.000,0.000,1.690,0.000,0.000,0.000,0.000,2.460,0.000,0.000,0.000,0.000,2.780,0.000,62.042,58.851,55.457,58.783
121,-0.000,-0.000,0.005,1.680,0.000,0.000,0.000,0.000,2.440,0.000,0.000,0.000,0.000,2.760,0.000,61.221,57.993,54.604,57.940
122,0.000,0.000,0.000,1.660,0.000,0.000,0.000,0.000,2.420,0.000,0.000,0.000,0.000,2.740,0.000,60.351,57.094,53.714,57.053
123,0.000,0.000,0.000,1.640,0.000,0.000,0.000,0.000,2.390,0.000,0.000,0.000,0.000,2.700,0.000,59.364,56.084,52.714,56.054
124,0.000,0.000,0.000,1.620,0.000,0.000,0.000,0.000,2.360,0.000,0.000,0.000,0.000,2.670,0.000,58.116,54.817,51.457,54.797
125,0.000,0.000,0.000,1.610,0.000,0.000,0.000,0.000,2.330,0.000,0.000,0.000,0.000,2.640,0.000,56.426,53.112,49.763,53.100
126,0.000,0.000,0.000,1.580,0.000,0.000,0.000,0.000,2.300,0.000,0.000,0.000,0.000,2.600,0.000,54.345,51.023,47.682,51.017
127,0.000,0.000,0.000,1.590,0.000,0.000,0.000,0.000,2.310,0.000,0.000,0.000,0.000,2.620,0.000,52.366,49.040,45.703,49.036
128,0.000,0.000,0.000,1.730,0.000,0.000,0.000,0.000,2.520,0.000,0.000,0.000,0.000,2.840,0.000,50.489,47.162,43.827,47.159
129,0.000,0.000,0.000,1.840,0.000,0.000,0.000,0.000,2.670,0.000,0.000,0.000,0.000,3.020,0.000,48.766,45.440,42.106,45.437
130,0.000,0.000,0.000,1.990,0.000,0.000,0.000,0.000,2.880,0.000,0.000,0.000,0.000,3.240,0.000,47.156,43.830,40.496,43.827
131,0.000,0.000,0.000,2.090,0.000,0.000,0.000,0.000,3.020,0.000,0.000,0.000,0.000,3.390,0.000,45.640,42.314,38.981,42.312
132,0.000,0.000,0.000,2.160,0.000,0.000,0.000,0.000,3.110,0.000,0.000,0.000,0.000,3.490,0.000,44.141,40.816,37.483,40.813
133,0.000,0.000,0.000,2.210,0.000,0.000,0.000,0.000,3.190,0.000,1.333,4.761,700.000,3.570,1.000,44.214,42.144,39.144,41.834
134,0.000,0.000,0.000,2.260,0.000,0.000,0.000,0.000,3.240,0.000,1.107,4.029,700.000,3.640,1.000,44.342,42.815,40.044,42.401
135,0.000,0.000,0.000,2.280,0.000,0.000,0.000,0.000,3.280,0.000,1.002,3.678,700.000,3.670,1.000,44.432,43.145,40.475,42.684
136,0.000,0.000,0.000,2.290,0.000,0.000,0.000,0.000,3.290,0.000,0.957,3.531,700.000,3.690,1.000,44.481,43.295,40.656,42.811
137,0.000,0.000,0.000,2.280,0.000,0.000,0.000,0.000,3.270,0.000,0.956,3.508,700.000,3.670,1.000,44.495,43.336,40.685,42.839
138,0.000,0.000,0.000,2.230,0.000,2.082,6.683,700.000,3.210,1.000,0.000,0.000,0.000,3.600,0.000,47.035,44.704,41.780,44.506
139,0.000,0.000,0.000,2.070,0.000,0.000,0.000,0.000,2.990,0.000,0.775,2.605,700.000,3.360,1.000,45.610,44.532,41.796,43.979
140,0.000,0.000,0.000,1.920,0.000,0.000,0.000,0.000,2.790,0.000,0.875,2.749,700.000,3.140,1.000,45.063,44.217,41.619,43.633
141,0.000,0.000,0.000,1.870,0.000,2.176,5.920,700.000,2.720,1.000,0.000,0.000,0.000,3.060,0.000,47.454,45.480,42.718,45.217
142,0.000,0.000,0.000,1.840,0.000,1.744,4.656,700.000,2.670,1.000,0.000,0.000,0.000,3.010,0.000,48.644,46.895,44.273,46.604
143,0.000,0.000,0.000,1.810,0.000,1.335,3.524,700.000,2.640,1.000,0.000,0.000,0.000,2.970,0.000,49.269,47.983,45.665,47.639
144,0.000,0.000,0.000,1.790,0.000,0.000,0.000,0.000,2.600,0.000,0.000,0.000,0.000,2.940,0.000,48.988,47.463,44.633,47.028
145,0.000,0.000,0.000,1.770,0.000,1.196,3.075,700.000,2.570,1.000,0.000,0.000,0.000,2.900,0.000,49.473,48.419,46.218,48.037
146,0.000,0.000,0.000,1.750,0.000,0.913,2.329,700.000,2.550,1.000,0.000,0.000,0.000,2.880,0.000,49.708,48.987,47.135,48.610
147,0.000,0.000,0.000,1.740,0.000,0.775,1.962,700.000,2.530,1.000,0.000,0.000,0.000,2.860,0.000,49.821,49.290,47.587,48.899
148,0.000,0.000,0.000,1.740,0.000,0.764,1.925,700.000,2.520,1.000,0.000,0.000,0.000,2.850,0.000,49.863,49.392,47.632,48.962
149,0.000,0.000,0.000,1.730,0.000,0.000,0.000,0.000,2.520,0.000,0.000,0.000,0.000,2.840,0.000,49.409,48.250,45.327,47.662
150,0.000,0.000,0.000,1.730,0.000,1.358,3.409,700.000,2.510,1.000,0.000,0.000,0.000,2.830,0.000,49.522,48.434,45.807,47.921
151,0.000,0.000,0.000,1.740,0.000,0.000,0.000,0.000,2.530,0.000,0.000,0.000,0.000,2.860,0.000,48.707,46.919,43.591,46.406
152,0.000,0.000,0.000,1.830,0.000,0.000,0.000,0.000,2.660,0.000,0.000,0.000,0.000,2.990,0.000,47.703,45.381,41.819,44.968
153,0.000,0.000,0.000,1.960,0.000,0.000,0.000,0.000,2.840,0.000,0.000,0.000,0.000,3.200,0.000,46.647,43.966,40.364,43.659
154,0.000,0.000,0.000,2.140,0.000,0.000,0.000,0.000,3.080,0.000,0.000,0.000,0.000,3.460,0.000,45.573,42.654,39.081,42.436
155,0.000,0.000,0.000,2.270,0.000,0.000,0.000,0.000,3.260,0.000,0.000,0.000,0.000,3.660,0.000,44.514,41.442,37.916,41.291
156,0.000,0.000,-0.000,2.360,-0.000,0.000,0.000,-0.000,3.380,-0.000,0.000,0.000,0.000,3.780,0.000,43.437,40.265,36.787,40.163
157,0.000,0.000,0.000,2.430,0.000,0.000,0.000,-0.000,3.470,-0.000,1.266,4.911,700.000,3.880,1.000,44.008,41.937,38.959,41.635
158,0.000,0.000,0.000,2.480,0.000,0.000,0.000,-0.000,3.530,-0.000,0.000,0.000,-0.000,3.950,-0.000,43.130,40.726,37.406,40.421
159,0.000,0.000,-0.000,2.510,-0.000,0.000,0.000,-0.000,3.570,-0.000,1.193,4.762,700.000,3.990,1.000,43.878,42.028,39.143,41.683
160,0.000,0.000,-0.000,2.510,-0.000,0.000,0.000,-0.000,3.580,-0.000,0.978,3.904,700.000,3.990,1.000,44.264,42.834,40.198,42.432
161,0.000,0.000,-0.000,2.480,-0.000,0.000,0.000,-0.000,3.540,-0.000,0.864,3.420,700.000,3.960,1.000,44.466,43.298,40.793,42.852
162,0.000,0.000,-0.000,2.410,-0.000,1.843,6.341,700.000,3.440,1.000,0.000,0.000,-0.000,3.850,-0.000,47.181,44.969,42.200,44.783
163,0.000,0.000,-0.000,2.250,-0.000,0.000,0.000,-0.000,3.230,-0.000,0.000,0.000,-0.000,3.620,-0.000,46.058,43.536,40.313,43.302
164,0.000,0.000,-0.000,2.120,-0.000,0.000,0.000,-0.000,3.060,-0.000,0.000,0.000,-0.000,3.440,-0.000,44.884,42.105,38.707,41.899
165,0.000,0.000,-0.000,2.100,-0.000,0.000,0.000,-0.000,3.030,-0.000,0.000,0.000,-0.000,3.410,-0.000,43.788,40.831,37.384,40.668
166,0.000,0.000,-0.000,2.070,-0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,-0.000,3.370,-0.000,42.995,39.939,36.486,39.807
167,0.000,0.000,-0.000,2.040,-0.000,0.000,0.000,-0.000,2.950,-0.000,0.000,0.000,-0.000,3.320,-0.000,42.380,39.262,35.815,39.152
